sample_name,microplate,ring,strain,treatment
F1-1,1,inner,Devosia,Devosia
F1-2,1,outer,Marinobacter,Devosia
F1-3,2,inner,Devosia,Devosia
F1-4,2,outer,Marinobacter,Devosia
F2-1,3,inner,Devosia,Devosia
F2-2,3,outer,Marinobacter,Devosia
F2-3,1,inner,none,none
F2-4,1,outer,Marinobacter,none
F3-1,2,inner,none,none
F3-2,2,outer,Marinobacter,none
F3-3,3,inner,none,none
F3-4,3,outer,Marinobacter,none
F4-1,1,inner,Alcanivorax,Alcanivorax
F4-2,1,outer,Marinobacter,Alcanivorax
F4-3,2,inner,Alcanivorax,Alcanivorax
F4-4,2,outer,Marinobacter,Alcanivorax
F5-1,3,inner,Alcanivorax,Alcanivorax
F5-2,3,outer,Marinobacter,Alcanivorax
F5-3,1,inner,Marinobacter,Marinobacter
F5-4,1,outer,Marinobacter,Marinobacter
F6-1,2,inner,Marinobacter,Marinobacter
F6-2,2,outer,Marinobacter,Marinobacter
F6-3,3,inner,Marinobacter,Marinobacter
F6-4,3,outer,Marinobacter,Marinobacter