id,Strain,Time,Treatment,Microplate,Ring,Direction,Abundance
tube 1,Alcanivorax EA2,0,3,0,1,0,447974.3227
tube 2,Devosia EAB7WZ,0,1,0,1,0,171711.185
tube 3,Marinobacter 3-2,0,4,0,1,0,2129779.285
tube 3,Marinobacter 3-2,0,1,0,2,0,2129779.285
tube 3,Marinobacter 3-2,0,2,0,2,0,2129779.285
tube 3,Marinobacter 3-2,0,3,0,2,0,2129779.285
tube 3,Marinobacter 3-2,0,4,0,2,0,2129779.285
1A1,Devosia EAB7WZ,5,1,1,1,1,1815635.369
1A2,Devosia EAB7WZ,5,1,1,1,3,1740219.949
1A3,Devosia EAB7WZ,5,1,1,1,5,1571456.269
1A4,Marinobacter 3-2,5,1,1,2,1,1865805.545
1A5,Marinobacter 3-2,5,1,1,2,3,1731106.471
1A6,Marinobacter 3-2,5,1,1,2,5,1895186.616
1A7,Devosia EAB7WZ,5,1,2,1,1,1347661.631
1A8,Devosia EAB7WZ,5,1,2,1,3,1398164.491
1A9,Devosia EAB7WZ,5,1,2,1,5,1355526.008
1A10,Marinobacter 3-2,5,1,2,2,1,762860.9434
1A11,Marinobacter 3-2,5,1,2,2,3,2433574.468
1A12,Marinobacter 3-2,5,1,2,2,5,1276600.012
1B1,Devosia EAB7WZ,5,1,3,1,1,1513428.253
1B2,Devosia EAB7WZ,5,1,3,1,3,2322750.163
1B3,Devosia EAB7WZ,5,1,3,1,5,1509336.454
1B4,Marinobacter 3-2,5,1,3,2,1,1650060.718
1B5,Marinobacter 3-2,5,1,3,2,3,1540283.098
1B6,Marinobacter 3-2,5,1,3,2,5,1284418.21
1B7,None,5,2,1,1,1,716942.9147
1B8,None,5,2,1,1,3,459064.8098
1B9,None,5,2,1,1,5,670282.3972
1B10,Marinobacter 3-2,5,2,1,2,1,808061.4025
1B11,Marinobacter 3-2,5,2,1,2,3,1436097.541
1B12,Marinobacter 3-2,5,2,1,2,5,1418789.442
1C1,None,5,2,2,1,1,809460.1213
1C2,None,5,2,2,1,3,781568.052
1C3,None,5,2,2,1,5,732783.844
1C4,Marinobacter 3-2,5,2,2,2,1,1323416.832
1C5,Marinobacter 3-2,5,2,2,2,3,1912457.759
1C6,Marinobacter 3-2,5,2,2,2,5,1478262.418
1C7,None,5,2,3,1,1,771063.6415
1C8,None,5,2,3,1,3,581533.4138
1C9,None,5,2,3,1,5,620020.3969
1C10,Marinobacter 3-2,5,2,3,2,1,1441499.34
1C11,Marinobacter 3-2,5,2,3,2,3,1530396.962
1C12,Marinobacter 3-2,5,2,3,2,5,1266500.699
1D1,Alcanivorax EA2,5,3,1,1,1,764318.3962
1D2,Alcanivorax EA2,5,3,1,1,3,394152.0569
1D3,Alcanivorax EA2,5,3,1,1,5,522886.3017
1D4,Marinobacter 3-2,5,3,1,2,1,828779.4713
1D5,Marinobacter 3-2,5,3,1,2,3,1367602.259
1D6,Marinobacter 3-2,5,3,1,2,5,710252.1835
1D7,Alcanivorax EA2,5,3,2,1,1,980445.2463
1D8,Alcanivorax EA2,5,3,2,1,3,722984.1279
1D9,Alcanivorax EA2,5,3,2,1,5,562388.6465
1D10,Marinobacter 3-2,5,3,2,2,1,1611851.531
1D12,Marinobacter 3-2,5,3,2,2,5,584075.0132
1E1,Alcanivorax EA2,5,3,3,1,1,306212.5488
1E2,Alcanivorax EA2,5,3,3,1,3,924572.3104
1E3,Alcanivorax EA2,5,3,3,1,5,1770135.714
1E4,Marinobacter 3-2,5,3,3,2,1,3693456.25
1E5,Marinobacter 3-2,5,3,3,2,3,2466293.76
1E6,Marinobacter 3-2,5,3,3,2,5,1239739.02
1E7,Devosia EAB7WZ,5,1,4,1,1,14329342.59
1E9,Devosia EAB7WZ,5,1,4,1,5,1595508.282
1E10,Marinobacter 3-2,5,1,4,2,1,853667.4894
1E11,Marinobacter 3-2,5,1,4,2,5,286418.2127
1F1,Devosia EAB7WZ,5,1,5,1,1,1649313.883
1F2,Devosia EAB7WZ,5,1,5,1,3,8947527.817
1F3,Devosia EAB7WZ,5,1,5,1,5,3121750.969
1F4,Marinobacter 3-2,5,1,5,2,1,224363.2046
1F5,Marinobacter 3-2,5,1,5,2,3,573205.5537
1F6,Marinobacter 3-2,5,1,5,2,5,1027811.801
1F7,Devosia EAB7WZ,5,1,6,1,1,3016866.788
1F8,Devosia EAB7WZ,5,1,6,1,3,2532152.58
1F9,Devosia EAB7WZ,5,1,6,1,5,4961567.211
1F10,Marinobacter 3-2,5,1,6,2,1,817446.4472
1F11,Marinobacter 3-2,5,1,6,2,3,1454648.891
1F12,Marinobacter 3-2,5,1,6,2,5,697305.1302
1G1,Marinobacter 3-2,5,4,1,1,1,1563494.436
1G2,Marinobacter 3-2,5,4,1,1,3,2272643.877
1G3,Marinobacter 3-2,5,4,1,1,5,1549140.278
1G4,Marinobacter 3-2,5,4,1,2,1,633131.0386
1G5,Marinobacter 3-2,5,4,1,2,3,589890.5683
1G6,Marinobacter 3-2,5,4,1,2,5,360101.4941
1G7,Marinobacter 3-2,5,4,2,1,1,1251085.492
1G8,Marinobacter 3-2,5,4,2,1,3,1566401.182
1G9,Marinobacter 3-2,5,4,2,1,5,1131693.948
1G10,Marinobacter 3-2,5,4,2,2,1,1767303.934
1G11,Marinobacter 3-2,5,4,2,2,3,971439.7909
1G12,Marinobacter 3-2,5,4,2,2,5,1957282.735
1H1,Marinobacter 3-2,5,4,3,1,1,3894331.117
1H2,Marinobacter 3-2,5,4,3,1,3,5385116.949
1H3,Marinobacter 3-2,5,4,3,1,5,3201299.268
1H4,Marinobacter 3-2,5,4,3,2,1,2219948.592
1H5,Marinobacter 3-2,5,4,3,2,3,1517084.557
1H6,Marinobacter 3-2,5,4,3,2,5,1084230.23
1H7,Alcanivorax EA2,5,3,4,1,1,974413.9259
1H8,Alcanivorax EA2,5,3,4,1,3,1105279.253
1H9,Alcanivorax EA2,5,3,4,1,5,926582.8764
1H10,Marinobacter 3-2,5,3,4,2,1,1422932.957
1H11,Marinobacter 3-2,5,3,4,2,3,2326771.087
1H12,Marinobacter 3-2,5,3,4,2,5,1751063.087
2A1,Alcanivorax EA2,5,3,5,1,1,743682.875
2A2,Alcanivorax EA2,5,3,5,1,3,1565216.18
2A3,Alcanivorax EA2,5,3,5,1,5,1542062.17
2A4,Marinobacter 3-2,5,3,5,2,1,1577761.145
2A5,Marinobacter 3-2,5,3,5,2,3,1079240.555
2A6,Marinobacter 3-2,5,3,5,2,5,1691164.67
2A7,Alcanivorax EA2,5,3,6,1,1,2350695.096
2A8,Alcanivorax EA2,5,3,6,1,3,1877047.315
2A9,Alcanivorax EA2,5,3,6,1,5,835677.0608
2A10,Marinobacter 3-2,5,3,6,2,1,1679712.567
2A11,Marinobacter 3-2,5,3,6,2,3,3863516.73
2A12,Marinobacter 3-2,5,3,6,2,5,219329.7389
2E1,Devosia EAB7WZ,14,1,1,1,1,3791274.922
2E2,Devosia EAB7WZ,14,1,1,1,3,4140167.633
2E3,Devosia EAB7WZ,14,1,1,1,5,4089067.304
2E4,Marinobacter 3-2,14,1,1,2,1,8567599.503
2E5,Marinobacter 3-2,14,1,1,2,3,10513484.45
2E6,Marinobacter 3-2,14,1,1,2,5,10309337.41
2E7,Devosia EAB7WZ,14,1,2,1,1,6437150.474
2E8,Devosia EAB7WZ,14,1,2,1,3,5890638.739
2E9,Devosia EAB7WZ,14,1,2,1,5,4821013.503
2E10,Marinobacter 3-2,14,1,2,2,1,8657016.891
2E11,Marinobacter 3-2,14,1,2,2,3,6277966.784
2E12,Marinobacter 3-2,14,1,2,2,5,4733349.524
2F1,Devosia EAB7WZ,14,1,3,1,1,7632163.653
2F2,Devosia EAB7WZ,14,1,3,1,3,6975408.478
2F3,Devosia EAB7WZ,14,1,3,1,5,4706592.946
2F4,Marinobacter 3-2,14,1,3,2,1,5336081.145
2F5,Marinobacter 3-2,14,1,3,2,3,11437800
2F6,Marinobacter 3-2,14,1,3,2,5,9210891.571
2F7,None,14,2,1,1,1,596234.5238
2F8,None,14,2,1,1,3,1109446.684
2F9,None,14,2,1,1,5,726546.5764
2F10,Marinobacter 3-2,14,2,1,2,1,9079405.629
2F11,Marinobacter 3-2,14,2,1,2,3,9690261.528
2F12,Marinobacter 3-2,14,2,1,2,5,9786634.144
2G1,None,14,2,2,1,1,1321789.895
2G2,None,14,2,2,1,3,861120.9955
2G3,None,14,2,2,1,5,981987.8529
2G4,Marinobacter 3-2,14,2,2,2,1,5184733.302
2G5,Marinobacter 3-2,14,2,2,2,3,9061386.716
2G6,Marinobacter 3-2,14,2,2,2,5,10608780.22
2G7,None,14,2,3,1,1,940432.7839
2G8,None,14,2,3,1,3,901585.2761
2G9,None,14,2,3,1,5,1336223.775
2G10,Marinobacter 3-2,14,2,3,2,1,11178379.97
2G11,Marinobacter 3-2,14,2,3,2,3,11921925.98
2G12,Marinobacter 3-2,14,2,3,2,5,9780536.946
2H1,Alcanivorax EA2,14,3,1,1,1,1064212.32
2H2,Alcanivorax EA2,14,3,1,1,3,733031.4317
2H3,Alcanivorax EA2,14,3,1,1,5,993643.6498
2H4,Marinobacter 3-2,14,3,1,2,1,4662458.609
2H5,Marinobacter 3-2,14,3,1,2,3,7455484.442
2H6,Marinobacter 3-2,14,3,1,2,5,5118795.931
2H7,Alcanivorax EA2,14,3,2,1,1,871970.2071
2H8,Alcanivorax EA2,14,3,2,1,3,771972.7273
2H9,Alcanivorax EA2,14,3,2,1,5,866307.914
2H10,Marinobacter 3-2,14,3,2,2,1,7768407.695
2H11,Marinobacter 3-2,14,3,2,2,3,5486638.858
2H12,Marinobacter 3-2,14,3,2,2,5,10118936.29
3A1,Alcanivorax EA2,14,3,3,1,1,823970.042
3A2,Alcanivorax EA2,14,3,3,1,3,963415.0213
3A3,Alcanivorax EA2,14,3,3,1,5,1011795.47
3A4,Marinobacter 3-2,14,3,3,2,1,10347286.03
3A5,Marinobacter 3-2,14,3,3,2,3,10801957.5
3A6,Marinobacter 3-2,14,3,3,2,5,11776221.8
3A9,Devosia EAB7WZ,14,1,4,1,5,3826206.709
3A12,Marinobacter 3-2,14,1,4,2,5,4318022.351
3B2,Devosia EAB7WZ,14,1,5,1,3,5970193.599
3B3,Devosia EAB7WZ,14,1,5,1,5,6983292.904
3B5,Marinobacter 3-2,14,1,5,2,3,2468834.672
3B6,Marinobacter 3-2,14,1,5,2,5,9301710.899
3B7,Devosia EAB7WZ,14,1,6,1,1,4187739.893
3B8,Devosia EAB7WZ,14,1,6,1,3,3886445.194
3B9,Devosia EAB7WZ,14,1,6,1,5,3102741.922
3B10,Marinobacter 3-2,14,1,6,2,1,5118220.012
3B11,Marinobacter 3-2,14,1,6,2,3,8586197.109
3B12,Marinobacter 3-2,14,1,6,2,5,3347496.171
3C1,Marinobacter 3-2,14,4,1,1,1,15804432.75
3C2,Marinobacter 3-2,14,4,1,1,3,14608982.69
3C3,Marinobacter 3-2,14,4,1,1,5,15329808.36
3C4,Marinobacter 3-2,14,4,1,2,1,2134307.037
3C5,Marinobacter 3-2,14,4,1,2,3,1210716.424
3C6,Marinobacter 3-2,14,4,1,2,5,1105627.597
3C7,Marinobacter 3-2,14,4,2,1,1,11383093.82
3C8,Marinobacter 3-2,14,4,2,1,3,11320096.13
3C9,Marinobacter 3-2,14,4,2,1,5,12582823.63
3C10,Marinobacter 3-2,14,4,2,2,1,2384390.245
3C11,Marinobacter 3-2,14,4,2,2,3,1430969.321
3C12,Marinobacter 3-2,14,4,2,2,5,1760147.991
3D1,Marinobacter 3-2,14,4,3,1,1,18221821.45
3D2,Marinobacter 3-2,14,4,3,1,3,17042300.62
3D3,Marinobacter 3-2,14,4,3,1,5,20089331.93
3D4,Marinobacter 3-2,14,4,3,2,1,5746500.569
3D5,Marinobacter 3-2,14,4,3,2,3,2454463.519
3D6,Marinobacter 3-2,14,4,3,2,5,1654284.597
3D7,Alcanivorax EA2,14,3,4,1,1,1487601.281
3D8,Alcanivorax EA2,14,3,4,1,3,1121352.941
3D9,Alcanivorax EA2,14,3,4,1,5,1778212.405
3D10,Marinobacter 3-2,14,3,4,2,1,11141606.97
3D11,Marinobacter 3-2,14,3,4,2,3,6706008.648
3D12,Marinobacter 3-2,14,3,4,2,5,12315834.64
3E1,Alcanivorax EA2,14,3,5,1,1,2728428.841
3E2,Alcanivorax EA2,14,3,5,1,3,1459471.834
3E3,Alcanivorax EA2,14,3,5,1,5,1453238.327
3E4,Marinobacter 3-2,14,3,5,2,1,10856230.85
3E5,Marinobacter 3-2,14,3,5,2,3,2792773.951
3E6,Marinobacter 3-2,14,3,5,2,5,3759271.126
3E7,Alcanivorax EA2,14,3,6,1,1,2804315.647
3E8,Alcanivorax EA2,14,3,6,1,3,2250544.466
3E9,Alcanivorax EA2,14,3,6,1,5,929612.7662
3E10,Marinobacter 3-2,14,3,6,2,1,13254348.67
3E11,Marinobacter 3-2,14,3,6,2,3,9454834.004
3E12,Marinobacter 3-2,14,3,6,2,5,12503450.05