id,Time,Treatment,Microplate,Abundance
2B1,5,1,1,7.26E+07
2B2,5,1,2,1.29E+08
2B3,5,1,3,1.79E+08
2B4,5,2,1,6.28E+07
2B5,5,2,2,8.88E+07
2B6,5,2,3,5.64E+07
2B7,5,3,1,7.77E+07
2B8,5,3,2,5.20E+07
2B9,5,3,3,9.67E+07
2B10,5,1,4,8.56E+07
2B11,5,1,5,7.37E+07
2B12,5,1,6,9.36E+07
2C1,5,4,1,5.93E+07
2C2,5,4,2,7.18E+07
2C3,5,4,3,9.25E+07
2C4,5,3,4,8.99E+07
2C5,5,3,5,6.68E+07
2C6,5,3,6,9.21E+07
3F1,14,1,1,2.73E+08
3F2,14,1,2,3.14E+08
3F3,14,1,3,2.20E+08
3F4,14,2,1,3.30E+08
3F5,14,2,2,1.90E+08
3F6,14,2,3,2.44E+08
3F7,14,3,1,3.15E+08
3F8,14,3,2,3.07E+08
3F9,14,3,3,2.54E+08
3F10,14,1,4,2.60E+08
3F11,14,1,5,1.99E+08
3F12,14,1,6,2.44E+08
3G1,14,4,1,2.81E+08
3G2,14,4,2,3.02E+08
3G3,14,4,3,2.38E+08
3G4,14,3,4,3.06E+08
3G5,14,3,5,1.94E+08
3G6,14,3,6,2.34E+08