Day,Treatment,Replicate,Length,Width
7,axenic,1,30.09,2.69
7,axenic,1,28.23,2.36
7,axenic,1,27.68,2.54
7,axenic,1,25.52,2.35
7,axenic,1,18.23,2.53
7,axenic,1,29.07,3.61
7,axenic,1,23.8,2.76
7,axenic,1,28.23,3.62
7,axenic,1,32.94,3.49
7,axenic,1,19.61,2.75
7,axenic,1,19.89,2.9
7,axenic,1,26.34,2.94
7,axenic,1,25.72,3.67
7,axenic,1,32.94,3.56
7,axenic,1,28.22,3.21
7,axenic,1,21.76,3.43
7,axenic,1,23.86,3.14
7,axenic,1,22.26,3.31
7,axenic,1,13.96,3.54
7,axenic,1,26.61,3.21
7,axenic,1,27.96,3.8
7,axenic,1,31.02,3.26
7,axenic,1,28.4,3.73
7,axenic,1,29.12,2.81
7,axenic,1,29.04,2.78
7,axenic,1,24.65,2.1
7,axenic,1,29.87,2
7,axenic,1,26.27,2.94
7,axenic,1,26.65,2.97
7,axenic,1,24.84,2.32
7,axenic,1,25.08,2.63
7,axenic,1,27.75,3.9
7,axenic,1,26.85,3.01
7,axenic,1,21.23,2.27
7,axenic,1,25.37,3
7,axenic,1,23.5,3.35
7,axenic,1,29.47,3.01
7,axenic,1,27.24,2.95
7,axenic,1,29.77,2.87
7,axenic,1,21.56,3.11
7,axenic,1,23.82,2.81
7,axenic,2,24.76,1.86
7,axenic,2,28.93,2.39
7,axenic,2,29.86,2.21
7,axenic,2,21.97,2.03
7,axenic,2,25.51,1.9
7,axenic,2,25.65,2.25
7,axenic,2,29.84,2.79
7,axenic,2,20.25,2.07
7,axenic,2,30.02,2.81
7,axenic,2,25.32,2.59
7,axenic,2,28.66,2.96
7,axenic,2,28.69,2.74
7,axenic,2,28.3,2.56
7,axenic,2,22.68,2.12
7,axenic,2,32.54,2.42
7,axenic,2,24.69,2.5
7,axenic,2,27.9,2.55
7,axenic,2,28.41,2.62
7,axenic,2,24.14,3.01
7,axenic,2,23.67,2.41
7,axenic,2,24.03,1.93
7,axenic,2,23.39,3.31
7,axenic,2,31.08,2.6
7,axenic,2,26.54,2.84
7,axenic,2,23.32,2.57
7,axenic,2,25.87,2.16
7,axenic,2,24.65,2.32
7,axenic,2,23.47,2.96
7,axenic,2,27.34,2.92
7,axenic,2,25.42,2.57
7,axenic,2,28.22,1.9
7,axenic,2,25.1,2.52
7,axenic,2,22.02,2.8
7,axenic,2,22.19,2.47
7,axenic,3,23.17,2.87
7,axenic,3,29.51,2.61
7,axenic,3,31.3,2.33
7,axenic,3,29.67,2.38
7,axenic,3,28.66,2.42
7,axenic,3,27.49,2.37
7,axenic,3,27.65,2.28
7,axenic,3,27.01,2.5
7,axenic,3,30.76,2.63
7,axenic,3,29.41,2.53
7,axenic,3,28.16,2.47
7,axenic,3,30.79,2.9
7,axenic,3,21.09,2.72
7,axenic,3,24.13,2.03
7,axenic,3,31.66,2.32
7,axenic,3,24.75,2.3
7,axenic,3,27.11,2.67
7,axenic,3,30.78,2.67
7,axenic,3,28.62,3.05
7,axenic,3,25.89,2.41
7,axenic,3,31.24,2.63
7,axenic,3,20.76,2.16
7,axenic,3,29.31,3.28
7,axenic,3,24.71,2.38
7,axenic,3,32.5,3.14
7,axenic,3,23.96,3.04
7,axenic,3,24.7,2.14
7,axenic,3,27,2.27
7,axenic,3,29.83,2.5
7,axenic,3,27.34,2.38
7,axenic,3,22.91,2.3
7,axenic,3,27.59,2.96
7,co_marino,1,27.76,3.25
7,co_marino,1,24.87,2.14
7,co_marino,1,24.08,2.12
7,co_marino,1,28.06,3.41
7,co_marino,1,16.69,2.79
7,co_marino,1,32.39,3
7,co_marino,1,28.08,2.24
7,co_marino,1,26.05,3.15
7,co_marino,1,23.02,2.81
7,co_marino,1,28.15,3.38
7,co_marino,1,28.09,3.46
7,co_marino,1,27.29,2.53
7,co_marino,1,28.95,2.76
7,co_marino,1,21.07,2.68
7,co_marino,1,27.57,2.55
7,co_marino,1,25.18,3.35
7,co_marino,1,26.64,4.17
7,co_marino,1,25.58,2.92
7,co_marino,1,23.1,3.35
7,co_marino,1,28.12,3.6
7,co_marino,1,24.06,4.03
7,co_marino,1,29.52,3.36
7,co_marino,1,24.71,3
7,co_marino,1,21.95,3.58
7,co_marino,1,28.62,2.61
7,co_marino,1,25.36,2.58
7,co_marino,1,28.24,2.97
7,co_marino,1,28.87,2.64
7,co_marino,1,22.45,2.27
7,co_marino,1,21.76,2.24
7,co_marino,1,27.72,2.18
7,co_marino,1,29.04,2.09
7,co_marino,1,26.28,2.81
7,co_marino,1,28.37,2.27
7,co_marino,1,23.76,2.37
7,co_marino,1,25.66,2.81
7,co_marino,1,27.18,3.42
7,co_marino,1,28.75,3.76
7,co_marino,1,30.82,3.62
7,co_marino,1,29.87,3.3
7,co_marino,1,28.18,3.03
7,co_marino,1,29.14,3.9
7,co_marino,1,22.35,2.34
7,co_marino,2,30.26,3
7,co_marino,2,28.64,2.67
7,co_marino,2,23.63,3.15
7,co_marino,2,22.29,2.7
7,co_marino,2,23.59,2.53
7,co_marino,2,21.11,2.8
7,co_marino,2,30.31,2.47
7,co_marino,2,25.2,2.17
7,co_marino,2,23.65,2.62
7,co_marino,2,25.53,2.15
7,co_marino,2,27.65,3.18
7,co_marino,2,22.95,3.05
7,co_marino,2,21.86,2.09
7,co_marino,2,22,2.39
7,co_marino,2,28.96,2.9
7,co_marino,2,24.36,3.41
7,co_marino,2,23.37,2.64
7,co_marino,2,23.36,2.12
7,co_marino,2,26.99,2.44
7,co_marino,2,26.99,2.22
7,co_marino,2,27.57,2.72
7,co_marino,2,27.81,2.82
7,co_marino,2,23.97,2.52
7,co_marino,2,31.99,2.69
7,co_marino,2,26.43,2.63
7,co_marino,2,23.12,2.22
7,co_marino,2,22.94,2.18
7,co_marino,2,23.21,2.12
7,co_marino,2,28.23,2.81
7,co_marino,2,26.44,2.66
7,co_marino,2,25.64,3.32
7,co_marino,2,29.64,2.87
7,co_marino,2,33.66,2.42
7,co_marino,2,35.64,3.52
7,co_marino,2,19.17,1.94
7,co_marino,2,19.82,2.41
7,co_marino,2,27.61,3.35
7,co_marino,2,29.63,2.72
7,co_marino,2,28.52,3.78
7,co_marino,2,20.66,3.04
7,co_marino,2,17.76,3.35
7,co_marino,3,26.65,2.33
7,co_marino,3,25.41,2.2
7,co_marino,3,20.77,2.52
7,co_marino,3,18.82,2.37
7,co_marino,3,27.37,2.66
7,co_marino,3,27.74,2.87
7,co_marino,3,26.33,1.79
7,co_marino,3,27.67,3.35
7,co_marino,3,24.75,3.21
7,co_marino,3,27.67,3.05
7,co_marino,3,23.42,2.73
7,co_marino,3,30.57,2.78
7,co_marino,3,16.19,2.26
7,co_marino,3,21.58,2.95
7,co_marino,3,28.84,2.37
7,co_marino,3,29.26,2.99
7,co_marino,3,24.09,2.89
7,co_marino,3,26.8,2.33
7,co_marino,3,23.45,2.44
7,co_marino,3,27.76,2.23
7,co_marino,3,27.65,1.71
7,co_marino,3,25.66,2.73
7,co_marino,3,27.96,2.18
7,co_marino,3,16.24,2.42
7,co_marino,3,20.52,2.59
7,co_marino,3,27.14,3.01
7,co_marino,3,25.32,2.2
7,co_marino,3,24.68,3.63
7,co_marino,3,21.1,2.27
7,co_marino,3,23.62,2.76
7,co_marino,3,25.88,2.73
7,co_marino,3,27.96,2.53
7,co_marino,3,23.42,2.74
7,co_marino,3,21.76,2.44
7,co_marino,3,30.76,2.68
7,co_marino,3,26.86,2.94
7,co_marino,3,26.63,2.85
7,co_marino,3,28.46,2.47
7,co_marino,3,20.06,2.42
7,co_marino,3,27.74,2.91
7,co_marino,3,27.52,2.5
7,co_marino,3,27.59,2.35
13,axenic,1,27.25,2.30
13,axenic,1,23.30,1.97
13,axenic,1,26.39,1.93
13,axenic,1,26.91,1.91
13,axenic,1,29.86,2.33
13,axenic,1,26.43,2.93
13,axenic,1,28.01,2.74
13,axenic,1,27.17,2.38
13,axenic,1,25.71,2.51
13,axenic,1,31.98,2.69
13,axenic,1,27.87,2.55
13,axenic,1,28.44,2.34
13,axenic,1,28.81,2.46
13,axenic,1,28.52,3.03
13,axenic,1,23.99,2.34
13,axenic,1,24.72,2.42
13,axenic,1,24.66,2.22
13,axenic,1,23.30,2.44
13,axenic,1,26.20,2.54
13,axenic,1,24.59,2.19
13,axenic,1,24.12,2.10
13,axenic,1,23.07,2.12
13,axenic,1,23.93,2.48
13,axenic,1,24.20,2.37
13,axenic,1,26.06,2.20
13,axenic,1,21.21,2.63
13,axenic,1,25.67,2.12
13,axenic,1,29.26,2.37
13,axenic,1,26.60,2.00
13,axenic,1,24.90,2.64
13,axenic,1,23.27,2.11
13,axenic,1,24.40,2.55
13,axenic,1,25.98,2.05
13,axenic,1,27.42,1.75
13,axenic,1,23.72,2.42
13,axenic,1,25.64,2.54
13,axenic,1,29.50,2.30
13,axenic,1,20.81,2.22
13,axenic,1,25.42,2.47
13,axenic,1,19.32,2.12
13,axenic,1,25.16,2.69
13,axenic,1,18.69,2.31
13,axenic,1,26.91,2.25
13,axenic,1,19.92,2.63
13,axenic,2,24.30,2.55
13,axenic,2,27.09,2.39
13,axenic,2,25.04,2.47
13,axenic,2,24.52,2.36
13,axenic,2,22.47,2.07
13,axenic,2,25.17,2.63
13,axenic,2,18.89,2.48
13,axenic,2,31.70,2.36
13,axenic,2,23.20,2.75
13,axenic,2,28.82,2.38
13,axenic,2,27.36,2.49
13,axenic,2,27.11,3.00
13,axenic,2,26.41,2.36
13,axenic,2,23.17,2.17
13,axenic,2,25.12,2.28
13,axenic,2,20.97,1.88
13,axenic,2,28.01,2.68
13,axenic,2,27.29,2.55
13,axenic,2,21.47,2.37
13,axenic,2,23.08,2.37
13,axenic,2,29.04,2.27
13,axenic,2,26.20,2.46
13,axenic,2,23.89,2.51
13,axenic,2,27.27,2.23
13,axenic,2,26.40,2.21
13,axenic,2,31.64,2.55
13,axenic,2,26.55,2.27
13,axenic,2,23.12,2.30
13,axenic,2,25.37,2.33
13,axenic,2,27.57,2.90
13,axenic,2,29.52,1.74
13,axenic,2,29.25,1.95
13,axenic,2,27.82,2.90
13,axenic,2,25.55,2.70
13,axenic,2,31.42,4.80
13,axenic,2,30.71,3.23
13,axenic,2,23.70,2.95
13,axenic,2,28.35,3.04
13,axenic,2,26.79,3.30
13,axenic,2,21.72,2.20
13,axenic,3,27.47,2.63
13,axenic,3,30.99,2.29
13,axenic,3,20.96,2.69
13,axenic,3,22.43,2.28
13,axenic,3,23.36,2.09
13,axenic,3,26.86,2.81
13,axenic,3,17.98,2.25
13,axenic,3,31.25,1.90
13,axenic,3,21.83,2.14
13,axenic,3,25.99,2.29
13,axenic,3,29.13,2.47
13,axenic,3,22.67,2.98
13,axenic,3,29.52,2.42
13,axenic,3,25.24,3.74
13,axenic,3,23.92,2.41
13,axenic,3,23.60,2.28
13,axenic,3,30.74,2.02
13,axenic,3,26.71,2.33
13,axenic,3,26.85,2.51
13,axenic,3,30.77,2.43
13,axenic,3,28.04,2.55
13,axenic,3,27.99,2.32
13,axenic,3,31.00,2.65
13,axenic,3,25.56,1.86
13,axenic,3,26.84,2.47
13,axenic,3,27.53,1.87
13,axenic,3,27.75,2.47
13,axenic,3,22.33,2.04
13,axenic,3,23.42,2.80
13,axenic,3,25.87,2.83
13,axenic,3,32.28,2.59
13,axenic,3,31.23,3.06
13,co_marino,1,25.59,2.34
13,co_marino,1,26.83,2.86
13,co_marino,1,25.94,2.12
13,co_marino,1,21.53,2.25
13,co_marino,1,28.62,2.90
13,co_marino,1,26.73,2.31
13,co_marino,1,27.69,2.85
13,co_marino,1,20.62,2.35
13,co_marino,1,22.85,2.32
13,co_marino,1,25.39,2.11
13,co_marino,1,27.48,2.11
13,co_marino,1,23.94,2.46
13,co_marino,1,30.09,2.55
13,co_marino,1,21.87,2.36
13,co_marino,1,25.91,2.16
13,co_marino,1,25.61,1.92
13,co_marino,1,29.19,2.73
13,co_marino,1,26.07,2.47
13,co_marino,1,27.28,2.90
13,co_marino,1,20.91,2.55
13,co_marino,1,23.71,2.28
13,co_marino,1,22.74,2.21
13,co_marino,1,16.38,2.02
13,co_marino,1,22.36,2.58
13,co_marino,1,24.19,2.25
13,co_marino,1,24.79,3.00
13,co_marino,1,25.29,2.74
13,co_marino,1,27.71,2.68
13,co_marino,1,27.40,2.21
13,co_marino,1,30.42,2.31
13,co_marino,1,24.56,1.92
13,co_marino,1,25.14,2.94
13,co_marino,1,26.34,3.30
13,co_marino,2,21.43,2.30
13,co_marino,2,25.39,2.20
13,co_marino,2,28.18,2.99
13,co_marino,2,25.17,2.67
13,co_marino,2,26.67,2.78
13,co_marino,2,24.44,2.43
13,co_marino,2,27.08,2.42
13,co_marino,2,26.49,2.55
13,co_marino,2,21.49,2.38
13,co_marino,2,24.86,2.70
13,co_marino,2,28.30,2.67
13,co_marino,2,23.11,2.60
13,co_marino,2,23.21,2.47
13,co_marino,2,32.42,2.51
13,co_marino,2,29.53,2.64
13,co_marino,2,22.39,2.09
13,co_marino,2,22.46,2.23
13,co_marino,2,23.14,2.21
13,co_marino,2,25.68,2.22
13,co_marino,2,23.11,2.42
13,co_marino,2,24.51,2.72
13,co_marino,2,21.98,2.36
13,co_marino,2,27.23,2.36
13,co_marino,2,27.83,3.10
13,co_marino,2,28.50,2.13
13,co_marino,2,24.85,2.30
13,co_marino,2,24.63,2.23
13,co_marino,2,19.56,2.16
13,co_marino,2,24.70,2.08
13,co_marino,2,24.19,2.36
13,co_marino,2,15.03,2.12
13,co_marino,2,21.81,2.68
13,co_marino,2,27.65,2.34
13,co_marino,2,22.74,1.95
13,co_marino,2,22.70,2.36
13,co_marino,3,29.82,2.85
13,co_marino,3,33.28,2.59
13,co_marino,3,22.83,2.29
13,co_marino,3,26.87,2.86
13,co_marino,3,41.91,3.52
13,co_marino,3,26.08,2.02
13,co_marino,3,23.94,2.51
13,co_marino,3,26.53,2.91
13,co_marino,3,35.68,2.51
13,co_marino,3,25.76,2.71
13,co_marino,3,22.51,1.92
13,co_marino,3,25.81,2.16
13,co_marino,3,28.23,2.55
13,co_marino,3,20.83,2.87
13,co_marino,3,29.01,3.24
13,co_marino,3,32.12,2.68
13,co_marino,3,24.15,2.16
13,co_marino,3,21.09,2.84
13,co_marino,3,24.02,2.44
13,co_marino,3,27.47,2.68
13,co_marino,3,26.01,2.14
13,co_marino,3,19.61,2.02
13,co_marino,3,26.37,2.97
13,co_marino,3,28.59,2.41
13,co_marino,3,25.96,2.12
13,co_marino,3,26.67,2.41
13,co_marino,3,27.59,2.21
13,co_marino,3,26.02,2.28
13,co_marino,3,22.07,2.33
13,co_marino,3,26.38,2.30
13,co_marino,3,32.41,2.47
13,co_marino,3,26.58,2.25
13,co_marino,3,26.20,2.51
13,co_marino,3,27.26,2.72
13,co_marino,3,26.98,3.38
13,co_marino,3,30.80,2.48
13,co_marino,3,21.05,2.64